2023-02-28 17:14:26.713764 Read holding register for device ID 1 , Start address = 286 Quantity = 42
2023-02-28 17:14:26.813730  * Response 1 from device ID 1 , data = 4110
2023-02-28 17:14:26.813730  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 3 from device ID 1 , data = 2369
2023-02-28 17:14:26.813730  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 5 from device ID 1 , data = 1156
2023-02-28 17:14:26.813730  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 7 from device ID 1 , data = 2066
2023-02-28 17:14:26.813730  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 9 from device ID 1 , data = 2077
2023-02-28 17:14:26.813730  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 11 from device ID 1 , data = 65324
2023-02-28 17:14:26.813730  * Response 12 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 13 from device ID 1 , data = 995
2023-02-28 17:14:26.813730  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 15 from device ID 1 , data = 4120
2023-02-28 17:14:26.813730  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 17 from device ID 1 , data = 2377
2023-02-28 17:14:26.813730  * Response 18 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 19 from device ID 1 , data = 65119
2023-02-28 17:14:26.813730  * Response 20 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 21 from device ID 1 , data = 64738
2023-02-28 17:14:26.813730  * Response 22 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 23 from device ID 1 , data = 800
2023-02-28 17:14:26.813730  * Response 24 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 25 from device ID 1 , data = 65469
2023-02-28 17:14:26.813730  * Response 26 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 27 from device ID 1 , data = 64540
2023-02-28 17:14:26.813730  * Response 28 from device ID 1 , data = 65535
2023-02-28 17:14:26.813730  * Response 29 from device ID 1 , data = 4113
2023-02-28 17:14:26.813730  * Response 30 from device ID 1 , data = 0
2023-02-28 17:14:26.813730  * Response 31 from device ID 1 , data = 2381
